text,label
"RT @llegopapa: Hago de conocimiento público que tanto yo como mi señora esposa, hemos sido diagnosticados con COVID-19. Nos encontramos en…",1
"RT @drdavidsamadi: 33,772,990 people around the world have gotten COVID-19 and recovered from it.

The media doesn’t want you to know that,…",1
"RT @SenSchumer: Once a COVID-19 vaccine is ready, it must be quickly distributed to the American people for free.",1
morning december ! may this month full of blessings and pandemic covid-19 will be end soon aamin &lt;3,1
"RT @drdavidsamadi: 33,772,990 people around the world have gotten COVID-19 and recovered from it.

The media doesn’t want you to know that,…",1
"RT @drdavidsamadi: 33,772,990 people around the world have gotten COVID-19 and recovered from it.

The media doesn’t want you to know that,…",1
RT @VUMChealth: Why does COVID-19 seem to spare children? Vanderbilt University Medical Center study offers an answer https://t.co/C3EoT2sU…,1
VÍDEO| Toque de queda podría ser ampliado en Aguadulce ante incremento de casos COVID-19 https://t.co/bOvfq9nMel #Panamá https://t.co/7tc3qigRbu,1
"RT @ohhterre: @OmarMuruaOK 
Tres casos nuevos de COVID-19 en Escuelas Públicas de CABA | UTE https://t.co/gsV0dk4vYQ",1
RT @olhardigital: Darth Vader de Star Wars: Morre David Prowse aos 85 anos vítima de covid-19 #DarthVader #DavidProwse #StarWars #OlharDigi…,1
RT @NFL_Memes: The NFL rescheduling games because of COVID-19 (@KingJosiah54)  https://t.co/K1u6145qUi,1
"RT @osakaprefPR: 高齢者の方、高齢者と日常的に接する家族、高齢者施設・医療機関等の職員は、感染リスクの高い環境を避け、少しでも症状が有る場合は休暇を取得するとともに早めに検査を受診しましょう。
https://t.co/ceT2YmGDR2
＃covid-19…",1
"RT @hgoldman77: New York City schools reopening fully will hinge on the distribution of a Covid-19 vaccine, Mayor Bill de Blasio says https…",1
"As camisas usadas pelo Liverpool na vitória por 4-0 contra o Southampton em 2020 foram assinadas e doadas ao @decappeal.

A instituição vai leiloar as peças e o dinheiro arrecadado será utilizado para ajudar refugiados em países como Síria e Somália a se protegerem da COVID-19 🙌 https://t.co/QCjNS55s4n",1
"#ICYMI | Australian carrier Qantas (QF) has today confirmed plans to terminate 2,000 jobs from its workforce from 10 different airports due to the COVID-19 pandemic.

🔗: https://t.co/17o7EvZcCQ https://t.co/O11COS41gh",1
"Acompáñanos a la videoconferencia en vivo ""Covid-19 y Su Efecto Sobre el Turismo"" 🛩️

🗓️Viernes 4 de diciembre
⏰4:00 p. m. 

#SomosBIS https://t.co/0La01GwBH7",1
"La situación de COVID-19 en México es “muy preocupante”, afirmó el director de la OMS
https://t.co/6fu7rrWZY4 https://t.co/WTSyc6SX3E",1
"México, el peor país para vivir durante pandemia de COVID-19, según ranking de Bloomberg​. https://t.co/EYVS8xggPM https://t.co/m3a5HZeNJf",1
"Únase al espacio de reflexión en la Palabra de Dios y oración por El Salvador y el mundo a raíz de la pandemia COVID-19. Transmisión simultánea en vivo a través de @RadioVerdad_AD, https://t.co/4FGNIFlaRz, TuneIn Radio y en: https://t.co/2nJ7hdbAWc https://t.co/risU1L1bEX",1
"We know that the COVID-19 pandemic has been very hard on pastors. Which of these things have you found yourself saying/thinking? If you share below, we'd like to pray for you. https://t.co/brelgTDqEi",1
"2020 so far:

Jan = 18,292 days
Feb = 29 days
Mar = COVID-19
Apr = Raf haircut problems 
May = Racism/global protests
Jun = Pokémon drama
Jul = AniPoke drama
Aug = July part 2/Raf Serena Stan pfp 
Sept = NAKD/DPFinale
Oct = Community hashtags 
Nov = Shit.

December is now here...",1
"Si tienes un vuelo hacia El Salvador, revisa frecuentemente la definición de los requisitos por COVID-19 para ingresar al país. Prepárate y evita inconvenientes con tu vuelo. #AviancaSigueVolando https://t.co/g83KUN9GZG",1
"RT @chenchenzh: It's Cai Wei's 27th birthday today.
He has been in custody since April for archiving censored Covid-19 articles on GitHub.…",1
B.C. changing COVID-19 case reporting as virus spread continues https://t.co/68y9kJCeEV,1
B.C. changing COVID-19 case reporting as virus spread continues https://t.co/PM78nUsRZJ,1
"RT @TheLeadCNN: CNN exclusive: Vast trove of leaked documents shows China underreported Covid-19 numbers, took weeks to diagnose new cases…",1
"RT @MarshallProj: As COVID-19 is surging, so is electronic surveillance. https://t.co/Id9a4GeZg2",1
B.C. changing COVID-19 case reporting as virus spread continues https://t.co/BkCBvCLL6y,1
B.C. changing COVID-19 case reporting as virus spread continues https://t.co/nGnvfiYeGJ,1
B.C. changing COVID-19 case reporting as virus spread continues https://t.co/ajNKGKK9bd,1
COVID-19 : un nombre record de décès en C.-B. ce week-end https://t.co/x4P6BgFRbK,1
PRU15 selepas COVID-19 berakhir tindakan tepat – Mohamad Hasan https://t.co/cPyfogIxit https://t.co/fRU7B3exTX,1
The South-Central Wisconsin Branch of the First Tee Organization says it’s trying to fill the gaps for students dealing with online classes and isolation linked to the COVID-19 pandemic. https://t.co/MOW2eGoVuq,1
"Governor Andrew Cuomo announced earlier today that effective Friday, December 4, elective surgeries will be stopped in Erie County amid rising COVID-19 cases and hospitalizations. https://t.co/8gBGFCWtdA",1
RT @CBSEveningNews: Moderna applied for emergency use of its COVID-19 vaccine Monday. The first Americans could receive a vaccine before Ch…,1
The Baltimore Ravens-Pittsburgh Steelers game has been pushed back for a third time due to COVID-19. The game is now scheduled for Wednesday night on KARE 11. https://t.co/WxZVShCgZy,1
RT @NFL_Memes: The NFL rescheduling games because of COVID-19 (@KingJosiah54)  https://t.co/K1u6145qUi,1
RT @TondaMacC: Chrystia Freeland rolls out $25.1B health and economic package to fight COVID-19 https://t.co/pvNhmG8xQo via @torontostar,1
Cara Pemasaran Properti di Tengah Pandemi Covid-19 https://t.co/sZKrEYIQfc,1
"Gregg County Commissioners voted Monday to set aside up to $100,000 of coronavirus relief funds to reimburse Longview Regional Medical Center for specialized ICU beds being used to treat COVID-19 patients. https://t.co/luWCDpSwIH",1
#HeyDC you can enroll in private health insurance or Medicaid through DC Health Link today. You may be at higher risk for #COVID-19 so do all you can to stay safe and to protect yourself and your family by visiting https://t.co/s7N8WhZvMV. Don't risk it. #GetCoveredDC. https://t.co/hkIhRULIN6,1
"Are you spending more or spending less after Covid-19 hit?

#throwback https://t.co/2Pa3gOkQCp",1
"New Approach Needed to Stop COVID-19 Workplace Clusters:
Many countries are easing lockdown measures and allowing workers to come back to the office. However, a problem arises as workplace clusters are emerg....
30th November 2020
https://t.co/CvYBMOjzXb
https://t.co/fGQMYw8KKB",1
"RT @drdavidsamadi: 33,772,990 people around the world have gotten COVID-19 and recovered from it.

The media doesn’t want you to know that,…",1
"“As Covid-19 took its toll, and I saw an alternate reality for higher education unfolding before my eyes, I discerned that it was time for me to step away"" https://t.co/QEw8W3LtTX",1
RT @ufrj: O Instituto de Biodiversidade e Sustentabilidade da UFRJ alertou sobre segunda onda de COVID-19 em Macaé. Uma das hipóteses dos p…,1
"RT @TheLeadCNN: CNN exclusive: Vast trove of leaked documents shows China underreported Covid-19 numbers, took weeks to diagnose new cases…",1
"RT @RoKhanna: Doctors Without Borders is here, in America, assisting with COVID-19 response. The Air Force sent nurses to hospitals in ND.…",1
"RT @Catrambo: Just found out that Ben Bova has died, COVID-19-related complications. Edited a manuscript for him just a few months ago.

We…",1
RT @tvnnoticias: Cifras de la situación de casos COVID-19 en Panamá para este lunes 30 de noviembre. #NoticiasTVN #COVID19 https://t.co/HUU…,1
"New Colorado state guidance could mean fewer teachers have to quarantine at home after a positive case of COVID-19 at their school, allowing more classrooms to stay open. #EdChat #coronavirus #k12 #BackToSchool https://t.co/tUbD2CiWTN",1
