text,label
RT @puresonofman: Miles Morales literally said “Anyone can wear the mask” at the end of Into the Spider-Verse yet a lot of you still don’t,1
"@ItMustBeKaren @ckforesthk Does it seem it cares? 

Corona virus, Canadian Michaels, Australia beef &amp; barley, Indian border, Taiwan strait....

Xitler and gang is riding a tiger they can’t get off.",0
RT @bbchealth: Flu virus with 'pandemic potential' found in China https://t.co/O4Pv1f8NjM,1
"RT @TeamTrump: Thanks to unprecedented action by President @realDonaldTrump the United States leads the world in coronavirus testing!

33 m…",0
"RT @joncoopertweets: Trump campaign scraps Alabama rally ahead of Sessions-Tuberville primary amid rising pandemic concerns 
https://t.co/T…",1
"@SenSanders ONLY FRAGILE-COMPROMISED PERSONS NEED MASKS!

You disappoint me, playing into this political charade that is damaging so many, and taking away our personal freedom!

COVID cases = 0.77% of US population - avg flu rated is 8% All but most fragile RECOVER!

#COVID19 #COVIDIOTS",0
"RT @smitaprakash: Xi Jinping has gobbled up Hong Kong, draconian law comes into effect, people deleting social media posts, activists resig…",1
"Dr. Fauci says U.S. could soon see 100,000 new coronavirus cases per day https://t.co/OaES58fQew via @YouTube",1
RT @joelockhart: Another bad Covid day and another day of silence from @realDonaldTrump he’s busy trying to personally track down two vanda…,1
More than 90 percent of global student population affected by COVID-19 closures. African governments must provide electricity and aid online learning in rural communities. https://t.co/S8r2DkGDzC,1
"RT @kylegriffin1: As the pandemic cripples parts of America, Politico reports that four senior Trump officials — Jared Kushner, Mark Meadow…",1
@DrMDSaunders I think Gov. Desantis needs to be tested for COVID-19. He seems to have some type of neurological impairment because he vetoed the $30 million DL budget in the midst of a global pandemic.  UWF should extend an offer to test him ASAP😀proud UWF full DL grad,0
"@realDonaldTrump Can we make sure we aren’t caught off guard again for new virus ,second wave and the flu season.. what a year 2020 #COVID19 #coronavirus ##G4virus #COVIDー19 
https://t.co/PuTDXHuBnV",1
"RT @nytimes: All 50 states had begun to reopen in some way after the coronavirus thrust the U.S. into lockdown starting in March.

Now, som…",1
"RT @Sachin_YB: Ayurveda has cure for everything, even for a deadly viruses like Corona. India's Patanjali Ayurved has successfully develope…",0
RT @ShaidaBadiee: Thanks @NextBillion for this article - A Vaccine Is Not the Only Answer to COVID-19: Why Strengthening Statistical and Da…,1
"RT @Henil_shah7: Well no need to bang thalis or to celebrate doctor's day with fake applause!
Just take your precautions and lets join toge…",1
"RT @SaraCarterDC: 'It's Going To Be Very Disturbing': Fauci Says COVID Cases Could Surge By 100,000 A Day https://t.co/LECaFOOe3n via @Sara…",1
"#NationalDoctorsDay

A huge thanks to all the doctors for being on the frontline in this fight against #COVID19. Your hard work, dedication and courage are truly appreciated. 

#IndiaFightsCorona 
#coronawarriors https://t.co/LqAhZDELhC",1
"RT @peaceandteachin: Looks like Grassley is okay with
Kids in cages
A pandemic that killed over 127,000 because of his failure to respond
G…",0
RT @prchovanec: Wake me up when the Trump White House realizes COVID-19 is more than just a PR problem.,1
"RT @frontpage_live: ""Taxpayers provided funding for the development of this drug. Now Gilead is price-gouging off it during a pandemic."" —…",1
"#Azerbaijan donates $300,000 to #Palestinian #refugees over #COVID19
https://t.co/HvYJD28tpr",1
RT @ConnieCrowley_: @Thomas1774Paine If the frightened ones get the vaccine then why would they worry? I’ll take my chances with COVID.,0
"RT @drdavidsamadi: The country of Austria is fully reopened with hardly any restrictions in place.

Masks are only required on public trans…",1
"RT @SaraCarterDC: 'It's Going To Be Very Disturbing': Fauci Says COVID Cases Could Surge By 100,000 A Day https://t.co/LECaFOOe3n via @Sara…",1
"RT @Ali_Vetnar: With a shortage of first responders to “enforce” these orders, we all have to understand this is a social responsibility. W…",1
"RT @YourAnonNews: Yesterday, there were 174,264 new cases of #COVID19 and 5,072 deaths were reported in the past 24 hours.

This brings the…",1
RT @puresonofman: Miles Morales literally said “Anyone can wear the mask” at the end of Into the Spider-Verse yet a lot of you still don’t,1
"People traveling into those states from states with a high spread of COVID-19 must quarantine for 14 days.

As of June 30, the states included in the advisory were AL, AR, AZ, CA, FL, GA, IA, ID, LA, MS, NC, NV, SC, TN, TX and UT. https://t.co/9W64JvKbWO #covidtravel",1
"RT @nytimes: Breaking News: Dr. Anthony Fauci warned the U.S. could see 100,000 new coronavirus cases a day, citing surges that put “the en…",1
"RT @TIME: ""We have a cheap, effective way to keep ourselves safer from COVID-19. Why are we fighting about it?"" writes Gavin Yamey https://…",1
@BlancheMedia @Yes2Truth @ghn_news Covid and flu are not comparable. https://t.co/9Z9i5zKAqV,1
"RT @eugenegu: @realDonaldTrump The Pandemic is a faceless virus that belongs to no race, creed, religion, or nationality. In fact, the coro…",1
RT @puresonofman: Miles Morales literally said “Anyone can wear the mask” at the end of Into the Spider-Verse yet a lot of you still don’t,1
"RT @dr_comm: #SarahanDust arrives and we have a whole new wave of positive #Covid19 tests.  inhaled, this dust can irritate a person's airw…",0
I've just posted a new blog: Lara Trump rejects Biden's criticism of Trump administration response to COVID: Joe doesn't have a plan https://t.co/Tl03094sRY,1
"RT @realDonaldTrump: As I watch the Pandemic spread its ugly face all across the world, including the tremendous damage it has done to the…",0
"RT @SenSchumer: China didn’t tell you to politicize masks
China didn’t make you rush states to reopen
China didn’t force you to downplay th…",1
RT @FredrikSewell: Suicide figures are up 200% since lockdown. Could 2 friends please copy and re-post this tweet? We’re trying to demonstr…,0
RT @VasundharaBJP: On #DoctorsDay I extend my deepest gratitude to those at the frontline of fighting this pandemic. We salute your selfles…,1
RT @moreki_mo: They say Covid mostly targets the good looking people. I'm so nervous,0
"RT @SpeakerPelosi: For 45 days, the Senate has refused to act on the House-passed #HeroesAct. As states across the country confront surging…",1
"RT @BillBishopKHOU: Tuesday, June 30, 2020
Today, Texas reports 6,975 more confirmed cases of COVID-19.  A new single day record in Texas.…",1
RT @NathanHRubin: You’d think 6 months into a global pandemic the US Government would have figured out a way to provide every American with…,1
RT @mattvauxhall1: #remdesivir US buys ALL Covid drug. This is what happens when the UK leaves a bloc it has a say in and falls at the feet…,0
More dogs disappear July 4-5 than on any other days of the year. Fireworks that have been popping since the pandemic began make it worse. https://t.co/z9R76J77Lk,0
"RT @funder: ""Clearly we are not in total control right now,"" Dr. Fauci said about Trump's handling of coronavirus.",1
RT @MSDintheUK: #COVID19 has highlighted the importance of tackling #AMR as patients that have contracted the virus may be at risk of secon…,1
"RT @realDonaldTrump: As I watch the Pandemic spread its ugly face all across the world, including the tremendous damage it has done to the…",0
"RT @bluestein: Savannah became the first major city in Georgia to require the use of face masks, setting up a potential showdown with @GovK…",1
